fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 161817	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.369051733532166	0.626270472669103	883	853	7701	24957689.6551724	1
20240513 162219	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.391884167825782	0.668929897402976	26	1776	7906	27881280.3598201	2
20240513 164412	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.186610890164754	0.676489830077599	1151	1104	5877	28940454.2728636	3
20240513 171715	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0687140657805199	0.518610999755582	1223	1539	6702	30505934.0329835	5
20240513 175552	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0247174934929327	0.610930643643619	1807	661	8709	30678877.0614693	7
20240513 201317	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.023862096983368	0.703620756823157	1043	1469	8522	31335289.3553223	17
20240513 204344	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201164678825276	0.726141309585509	1416	1504	8672	31528527.7361319	18
20240513 233653	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2361	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0574718332077232	0.767999161520053	8	1432	8643	31701224.8875562	25
20240514 005259	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0310865939510312	0.753694840158354	207	1468	9595	31970202.3988006	28
