fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 010612	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.369051733532166	0.626270472669103	883	853	13092	58175694.1529235	1
20240512 011124	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.391884167825782	0.668929897402976	26	1776	10720	59122578.7106447	2
20240512 012823	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	419	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.186610890164754	0.676489830077599	1151	1104	10319	59542670.1649175	3
20240512 014612	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	459	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.268781542032156	0.795688369696304	606	473	11084	56457085.4572714	4
20240512 023431	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1312	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0687140657805199	0.518610999755582	1223	1539	10676	62480665.6671664	5
20240512 025338	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.247816434832248	0.870575953631149	662	1279	13575	58862946.0269865	6
20240512 034033	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1213	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0247174934929327	0.610930643643619	1807	661	11270	64350299.850075	7
20240512 041903	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	849	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.464330810415747	0.737001579824446	331	972	13266	56973754.1229385	8
20240512 043243	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.291299896026118	0.705052758951432	1444	1309	14272	58732065.9670165	9
20240512 044738	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	242	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.349729353446445	0.525876794268231	1336	300	13207	46217320.8395802	10
20240512 050445	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.11750098622176	0.82218692680236	1639	216	13324	62858224.8875562	11
20240512 051253	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.164848904837522	0.771637164143736	413	1469	12711	61760853.0734633	12
20240512 052422	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.413592024621819	0.831394646184073	1693	1890	10980	52490884.5577211	13
20240512 053812	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.226217250093629	0.572286524736694	1939	1708	10770	61869790.1049475	14
20240512 054533	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	241	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.485523743740967	0.891458603698618	937	408	17501	42488124.4377811	15
20240512 055754	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	337	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0845746604705996	0.579978566921908	201	732	10350	62636236.8815592	16
20240512 062130	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	514	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200034271438375	0.760448810977853	2013	1448	12094	64962617.6911544	17
20240512 073009	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2354	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201536380018499	0.736471932052229	1913	1292	10803	64351839.5802099	18
20240512 075850	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	434	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201274367116261	0.892037482468868	2047	101	11918	64709628.185907	19
20240512 081101	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	183	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.080873672585735	0.663468860708808	2048	2000	11274	63199229.3853073	20
20240512 085105	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1040	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0425206262549668	0.815042811007203	2048	777	11687	64474952.023988	21
20240512 090504	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200310528968178	0.824481522416286	598	103	11162	64273280.3598201	22
20240512 094805	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1014	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200017524989081	0.820228907467055	1665	477	11775	64672361.3193403	23
20240512 101514	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0202563831885895	0.742649179438992	2047	101	11960	64602278.8605697	24
20240512 103459	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200436878639999	0.779044595849108	389	1639	10940	65010224.8875562	25
20240512 104133	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200869593882783	0.895718419152752	8	793	11363	57953878.5607196	26
20240512 110101	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200493459833319	0.617360481674471	580	1688	13566	64589496.2518741	27
20240512 114632	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1691	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200284292184215	0.80002557205665	813	1805	13888	63345955.0224888	28
