fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 115945	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200193256875138	0.612972017372549	656	102	10754	65223997.0014993	29
20240512 122308	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	617	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0910409050293406	0.800728104531234	2048	1540	11130	63281904.047976	30
20240512 124035	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	526	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0379635786270051	0.70910130751857	866	100	13444	63969469.2653673	31
20240512 125923	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201053117182834	0.500067770105572	432	244	12225	65427188.9055472	32
20240512 143444	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2902	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201581883183243	0.500601261126763	2048	1642	11855	64948943.0284858	33
20240512 144931	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.291719626020445	0.500146751308487	394	1432	11935	59504085.4572714	34
20240512 150221	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.020253814655432	0.585859192315794	382	100	12055	64797278.8605697	35
20240512 153727	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200749866903579	0.538924039291794	577	446	11704	64581733.1334333	36
20240512 161949	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1336	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201318812789121	0.500284241873253	204	1998	10529	65519986.5067466	37
20240512 171653	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1977	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200716666070166	0.506433230342827	190	1634	12701	64461137.9310345	38
20240512 173948	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	953	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200032136223523	0.71162864319341	288	2000	11215	64960337.3313343	39
20240512 185015	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2327	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0231060138650416	0.500141623355639	385	1998	12343	65054598.2008995	40
20240512 190632	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200159806562365	0.500879915419999	575	100	11561	64296130.4347826	41
20240512 192852	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	564	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200741529617017	0.583903272073003	326	2000	13292	65556983.5082459	42
20240512 194650	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	293	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201347797140999	0.585114781800392	294	1999	12072	65746338.8305847	43
20240512 200013	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	292	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0560699085817592	0.586015642312893	238	2000	10868	64783046.4767616	44
20240512 201429	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	395	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201484101609527	0.639484257849236	472	273	10256	63853769.1154423	45
20240512 204903	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	942	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200046427961592	0.566668245884891	322	1996	11213	64892334.3328336	46
20240512 205520	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200240076068595	0.597596579932799	10	2000	11262	57286383.808096	47
20240512 221033	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2329	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0207360242683553	0.500127929425954	574	1995	13986	63065088.4557721	48
20240512 222644	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	373	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0634086971050002	0.708710680843461	684	1044	12978	63488188.9055472	49
20240512 230506	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1267	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0337840183630542	0.602134729873569	1525	1508	11527	63343497.7511244	50
20240512 232453	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	271	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0203422348369735	0.504901501363337	284	1112	11135	65399857.5712144	51
20240512 235948	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1294	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0439370048751269	0.899892486647758	1723	1988	12741	63926265.3673163	52
20240513 002750	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0203224086139459	0.899801779980574	1360	279	12059	64125008.9955022	53
20240513 004412	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0206551028115599	0.500165177919041	344	1568	11786	64309946.0269865	54
20240513 014134	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1882	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0203999664009381	0.507608887238702	358	1082	11313	64083848.5757121	55
20240513 022004	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.020408507292692	0.500842237386264	2048	104	14290	64796026.9865067	56
20240513 024142	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0464158134919023	0.52862053398923	347	1806	13598	62974995.5022489	57
20240513 031512	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200912094024935	0.820244831636994	1777	102	14197	64476106.4467766	58
20240513 033827	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.020398065888956	0.52981144027123	2048	931	11080	64932773.6131934	59
20240513 040128	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0203762436037398	0.500809409395258	2048	1135	12545	66042481.2593703	60
20240513 051324	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1854	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201263956115327	0.500191397089969	2045	1146	11763	64225542.7286357	61
20240513 054424	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	431	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200702018699868	0.546555257887701	2047	1254	11145	64858553.2233883	62
20240513 065343	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1692	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200226206986538	0.899965812905916	1874	811	10315	64487503.7481259	63
20240513 080412	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1703	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0204113922473796	0.500554635105028	2048	757	13116	64182254.8725637	64
20240513 082111	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	558	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200319707333815	0.623612120240025	387	862	11491	64916745.1274363	65
20240513 094344	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2427	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.020348864326987	0.500645489178962	2048	1478	11051	63932997.0014993	66
